0,49,0,816,0,"LMT",\N
0,49,1,3600,0,"WAT",\N
0,50,0,-968,0,"LMT",\N
0,50,1,0,0,"GMT",\N
0,51,0,-968,0,"LMT",\N
0,51,1,0,0,"GMT",\N
0,52,0,3164,0,"LMT",\N
0,52,1,7200,1,"CEST",\N
0,52,2,3600,0,"CET",\N
0,52,3,7200,0,"EET",\N
0,53,0,561,0,"PMT",\N
0,53,1,7200,1,"CEST",\N
0,53,2,3600,0,"CET",\N
0,53,3,3600,0,"CET",\N
0,53,4,7200,1,"CEST",\N
0,54,0,5400,0,"SWAT",\N
0,54,1,7200,0,"SAST",\N
0,54,2,10800,1,"SAST",\N
0,54,3,7200,0,"CAT",\N
0,54,4,7200,1,"WAST",\N
0,54,5,3600,0,"WAT",\N
0,55,0,-39600,0,"NST",\N
0,55,1,-36000,1,"NWT",\N
0,55,2,-36000,1,"NPT",\N
0,55,3,-39600,0,"BST",\N
0,55,4,-36000,1,"BDT",\N
0,55,5,-36000,0,"AHST",\N
0,55,6,-32400,1,"HDT",\N
0,55,7,-36000,0,"HST",\N
0,56,0,-36000,0,"CAT",\N
0,56,1,-32400,1,"CAWT",\N
0,56,2,-32400,1,"CAPT",\N
0,56,3,-36000,0,"AHST",\N
0,56,4,-32400,1,"AHDT",\N
0,56,5,-32400,0,"YST",\N
0,56,6,-28800,1,"AKDT",\N
0,56,7,-32400,0,"AKST",\N
0,57,0,-14764,0,"LMT",\N
0,57,1,-14400,0,"AST",\N
0,58,0,-14764,0,"LMT",\N
0,58,1,-14400,0,"AST",\N
0,59,0,-11568,0,"LMT",\N
0,59,1,-7200,1,"BRST",\N
0,59,2,-10800,0,"BRT",\N
0,60,0,-15408,0,"CMT",\N
0,60,1,-14400,0,"ART",\N
0,60,2,-10800,1,"ARST",\N
0,60,3,-7200,1,"ARST",\N
0,60,4,-10800,0,"ART",\N
0,61,0,-15408,0,"CMT",\N
0,61,1,-14400,0,"ART",\N
0,61,2,-10800,1,"ARST",\N
0,61,3,-7200,1,"ARST",\N
0,61,4,-10800,0,"ART",\N
0,61,5,-14400,0,"WART",\N
0,61,6,-10800,0,"ART",\N
0,62,0,-15408,0,"CMT",\N
0,62,1,-14400,0,"ART",\N
0,62,2,-10800,1,"ARST",\N
0,62,3,-7200,1,"ARST",\N
0,62,4,-10800,0,"ART",\N
0,62,5,-14400,0,"WART",\N
0,62,6,-10800,0,"ART",\N
0,63,0,-15408,0,"CMT",\N
0,63,1,-14400,0,"ART",\N
0,63,2,-10800,1,"ARST",\N
0,63,3,-7200,1,"ARST",\N
